recipe_name,ingredients,Cuisine,URL,image-url
Dhaba Style Tomato Chutney Recipe,3 green chillies salt - to taste 5 cloves garlic 1 teaspoon mustard oil 2 tomatoes 2 teaspoon coriander (dhania) leaves - finely chopped,North Indian Recipes,https://www.archanaskitchen.com/dhaba-style-tomato-chutney-recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/nithya.anantham/Dhaba_Style_Tomato_Chutney_Recipe.jpg
Chow-Chow Kothamalli Chutney Recipe - Chayote Coriander Chutney,1 cup coriander (dhania) leaves 3 dry red chillies salt - to taste 1 teaspoon chana dal (bengal gram dal) 1 chow chow (chayote squash) - diced 30 grams tamarind 2 teaspoon white urad dal (split) 2 teaspoon sunflower oil,South Indian Recipes,https://www.archanaskitchen.com/chow-chow-kothamalli-chutney-recipe-chayote-coriander-chutney,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Manjula_Bharath/ChowChow_Kothamalli_Chutney_Recipe_Chayote_Coriander_Chutney_1.jpg
Sprouted Moong And Onion Pakora - Sprouted Moong and Onion Pakoras Recipe, 1/2 teaspoon coriander powder 1/2 cup gram flour  1/4 teaspoon ginger - grated  2 green chillies - finely chopped  red chili powder - to taste  2 tablespoons green coriander - finely chopped  1/2 teaspoon lemon juice  oil - to fry  1/2 teaspoon garam masala  2 tablespoons rice flour  1/4 cup sprouted moong  1 onion - thin and straight cut  salt - to taste,Indian,https://www.archanaskitchen.com/sprouted-moong-and-onion-fritters-recipe-in-hindi,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/aarti/Sprouted_Moong_and_Onion_Fritters_Recipe.jpg
Bharwa Lauki Recipe In No Onion No Garlic Makhani Gravy,1 green chilli - finely chopped 1/2 teaspoon turmeric powder (haldi) 1 bottle gourd (lauki) - peeled and cut into roundels 1 tablespoon gram flour (besan) 1 teaspoon garam masala powder salt - to taste 1 cup homemade tomato puree 2 cardamom (elaichi) pods/seeds 1 teaspoon red chilli powder 2 tablespoons fresh cream emami rice bran oil - as needed 1 tablespoon kasuri methi (dried fenugreek leaves) 2 dry red chillies - (adjust) 1 ginger 2 cloves (laung) 2 tablespoons cashew nuts 2 teaspoons coriander powder (dhania) 1 cup paneer (homemade cottage cheese) - crumbled,North Indian Recipes,https://www.archanaskitchen.com/bharwa-lauki-recipe-in-no-onion-no-garlic-makhani-gravy,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2018/Bharva_Lauki_Recipe_Stuffed_Lauki_Paneer_in_Makhani_Gravy-5.jpg
Rajma Aloo Cutlet Recipe (Tikki / Patty),1/2 tablespoon amchur (dry mango powder) 1 tablespoon gram flour (besan) - roasted 1/2 tablespoon red chilli powder 1/2 tablespoon coriander powder (dhania) salt - to taste 1/4 cup coriander (dhania) leaves - finely chopped 2 green chillies - finely chopped 1/2 tablespoon garam masala powder 2 potatoes (aloo) - boiled and peeled 1 cup rajma (large kidney beans) - washed and soaked overnight (6-8 hrs.) sunflower oil - as needed 1/4 tablespoon cumin powder (jeera),Indian,https://www.archanaskitchen.com/rajma-aloo-cutlet-recipe-tikki-patty,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Lubna_Karim/Rajma__Aloo_TikkiCutlet_1600.jpg
Palak Baingan Ki Sabzi - Recipe in Hindi, 1 sprig curry leaves - finely chopped  300 grams spinach - cut  1 teaspoon cumin seeds  1 teaspoon coriander powder 10 brinjal - small  1/4 teaspoon asafoetida  salt - as per taste  3 cloves garlic - finely chopped  1 inch ginger - grated  1/2 teaspoon red chilli powder,Indian,https://www.archanaskitchen.com/palak-baingan-ki-sabzi-recipe-in-hindi,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Vegetables_Dry/Baingan_Palak_Sabzi_Eggplant_Spinach_Curry_Recipe-1.jpg
Beetroot And Chickpea Kebab/Tikki Recipe - Evening Snack,1/4 cup roasted peanuts (moongphali) 1 teaspoon cumin powder (jeera) salt - as per your taste 1/2 teaspoon amchur (dry mango powder) 4 tablespoons sooji (semolina/ rava) sunflower oil - for shallow frying 1 teaspoon coriander powder (dhania) 1/2 teaspoon garam masala powder 1 cup kabuli chana (white chickpeas) - soaked asafoetida (hing) - a pinch 1 tablespoon corn flour 2 beetroots - peeled and cut into small cubes 3 tablespoons gram flour (besan) 1/4 teaspoon turmeric powder (haldi) 1/2 teaspoon red chilli powder,Indian,https://www.archanaskitchen.com/beetroot-and-peanuts-kebab-tikki-recipe-evening-snack,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/swathynandhini/Beetroot_Peanuts_Kebab_Tikki_Recipe_1600.jpg
Cauliflower Coconut Milk Stew Recipe,1 cauliflower (gobi) - cut into florets 1/2 teaspoon turmeric powder (haldi) 3 sprig coriander (dhania) leaves - finely chopped 1 cup homemade tomato puree salt - to taste sunflower oil - for cooking 2 cloves garlic - grated 1/2 teaspoon whole black peppercorns - coarsely pounded 1 bay leaf (tej patta) 1/2 cup coconut milk 1/2 teaspoon red chilli powder 2 cardamom (elaichi) pods/seeds - pounded,South Indian Recipes,https://www.archanaskitchen.com/cauliflower-coconut-milk-stew-recipe,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Vegetables_Gravy/Cauliflower_Curry_Stew_With_Coconut_Milk_Recipe_Archanas_Kitchen_Vegetarian_Food-1.jpg
Passion Fruit- Shrikhand Shots Recipe,1 cup curd (dahi / yogurt) 1 passion fruit - (pulp needed) 1 tablespoon caster sugar 1 pinch saffron strands - mixed with 1 tablespoon warm milk 1/4 teaspoon cardamom powder (elaichi) 1-2 tablespoon chocolate chips,Indian,https://www.archanaskitchen.com/passion-fruit-shrikhand-shots-recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Drashti/Passion_Fruit_Shrikhand_Shots.jpg
Tirunelveli Buttermilk Broth Recipe,1 cup fresh coconut - grated 1 teaspoon white urad dal (split) 1/2 teaspoon mustard seeds 2 cups curd (dahi / yogurt) salt - to taste 1 teaspoon cumin seeds (jeera) 250 grams vellai poosanikai (ash gourd/white pumpkin) - peeled and cubed 1/2 cup tamarind water 1/4 teaspoon methi seeds (fenugreek seeds) 1 teaspoon coconut oil 1 sprig curry leaves 2 teaspoons white urad dal (split) 5 dry red chillies,South Indian Recipes,https://www.archanaskitchen.com/tirunelveli-style-mor-kuzhambu-recipe,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2020/Tirunelveli_Style_Mor_Kuzhambu_Recipe_Recipe_2_1600.jpg
